"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TMAX","TMIN","TOBS"
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-03-29","0.00","29","-4",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-03-30","0.00","32","-4",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-03-31","0.00","40","10",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-04-01","0.00","37","6",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-04-02","0.00","42","0",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-04-03","0.00","47","5",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-04-04","0.00","45","11",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-04-05","0.00","40","12",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-04-06","0.12","36","27",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-04-07","0.00","36","13",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-04-08","0.00","40","30",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-04-09","0.00","41","33",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-04-10","0.00","40","14",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-04-11","0.00","36","14",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-04-12","0.00","26","1",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-04-13","0.00","40","6",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-04-14","0.00","37","12",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-04-15","0.00","45","21",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-04-16","0.00","41","29",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-04-17","0.00","33","15",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-04-18","0.00","35","8",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-04-19","0.00","31","22",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-04-20","0.00","29","12",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-04-21","0.00","38","1",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-04-22","0.00","42","31",
